Rhizobium phaseoli
Legionella israelensis
Kandleria vitulina
Trueperella bernardiae
Pseudogulbenkiania subflava
Bacteroides fragilis
Actinomyces hordeovulneris
Ochrobactrum anthropi
Bordetella pertussis
Mycobacterium interjectum
Pseudomonas guineae
Gracilimonas tropica
Vibrio mimicus
Pseudomonas thermotolerans
Neisseria polysaccharea
Mesonia phycicola
Thermodesulfobacterium hydrogeniphilum
Pseudomonas protegens
Enterococcus ureasiticus
Gulbenkiania indica
Nocardiopsis prasina
Hyphomonas oceanitis
Anoxybacillus tepidamans
Clostridium magnum
Gracilibacillus boraciitolerans
Nesterenkonia sandarakina
Desulfonispora thiosulfatigenes
Capnocytophaga leadbetteri
Flavobacterium soli
Salinimonas chungwhensis
Amycolatopsis lexingtonensis
Dichelobacter nodosus
Virgibacillus soli
Succinivibrio dextrinosolvens
Staphylococcus saccharolyticus
Streptomyces silaceus
Rhodobaca barguzinensis
Desulfotomaculum acetoxidans
Desulfovibrio litoralis
Selenomonas ruminantium
Brachymonas denitrificans
Alysiella filiformis
Catenuloplanes japonicus
Thalassospira profundimaris
Mycobacterium rutilum
Phascolarctobacterium faecium
Legionella jamestowniensis
Bacillus akibai
Erwinia persicina
Aminiphilus circumscriptus
Clostridium lundense
Acinetobacter schindleri
Hyphomonas polymorpha
Xenorhabdus japonica
Bacteroides ovatus
Algoriphagus antarcticus
Burkholderia gladioli
Bacillus badius
Psychrobacter glacincola
Azotobacter chroococcum
Ottowia thiooxydans
Nocardia pseudobrasiliensis
Legionella sainthelensi
Bacteroides finegoldii
Leptotrichia trevisanii
Granulicatella balaenopterae
Streptomyces durhamensis
Succinispira mobilis
Bifidobacterium callitrichos
Roseinatronobacter thiooxidans
Afifella pfennigii
Chryseobacterium taichungense
Fervidobacterium changbaicum
Lysinibacillus fusiformis
Ferrithrix thermotolerans
Citrobacter sedlakii
Kocuria flava
Dorea formicigenerans
Bacillus oleronius
Butyrivibrio proteoclasticus
Salinicoccus halodurans
